county,trump_2024_pct,total_2024,reg_dem_pct,reg_rep_pct,reg_npp_pct,place_type,edu_bachelor_plus_pct,hh_100k_plus_pct,hispanic_pct,reg_total,reg_hisp_pct,reg_white_pct,reg_black_pct,reg_asian_pct,reg_other_pct
Sacramento,40.5,680,44,27,23,Urban,33,42,25,809211,16.3,53.3,11.1,13.7,5.7
San Benito,46.0,28,42,28,24,Exurb,22,44,62,29195,47.1,45.4,1.5,2.9,3.1
San Bernardino,51.5,740,40,31,23,Suburb,22,36,56,985506,42.4,37.7,10.2,6.6,3.2
San Diego,40.0,1450,40,28,26,Urban,40,47,35,1682503,23.8,56.7,5.6,10.0,3.9
San Francisco,15.0,460,60,6,28,Urban,60,53,15,459941,10.5,48.3,6.1,30.9,4.2
San Joaquin,48.5,290,43,31,21,Suburb,22,37,45,347259,29.2,42.5,9.2,14.7,4.3
San Luis Obispo,47.0,155,35,35,26,Suburb,36,39,24,167990,14.3,78.0,1.8,2.9,3.0
San Mateo,25.0,370,53,14,28,Suburb,51,64,24,362325,16.0,49.8,3.0,27.1,4.1
Santa Barbara,37.0,185,43,26,26,Suburb,36,39,47,210144,27.8,62.0,2.5,4.6,3.1
Santa Clara,27.0,800,47,16,31,Urban,53,65,25,835267,18.6,42.9,3.2,31.8,3.5
Santa Cruz,26.0,145,54,16,26,Suburb,44,44,36,144429,20.1,71.5,1.1,4.1,3.3
Shasta,69.0,90,24,47,24,Exurb,22,28,11,107353,6.8,85.4,0.9,2.2,4.7
Sierra,62.0,2,28,41,25,Rural,24,28,12,1918,6.2,91.6,0.2,0.0,2.1
Siskiyou,62.0,23,29,41,24,Rural,23,22,14,26447,7.9,83.2,1.6,0.9,6.4
Solano,42.0,195,46,26,23,Suburb,28,49,28,234032,17.6,46.5,16.2,13.7,5.9
Sonoma,29.0,255,50,18,26,Suburb,40,47,28,268644,14.9,76.6,1.5,3.6,3.4
Stanislaus,52.0,200,39,34,21,Suburb,19,32,49,251570,33.1,54.8,3.4,4.9,3.7
Sutter,60.0,38,32,41,21,Exurb,21,34,33,46796,19.7,59.8,2.7,13.5,4.3
Tehama,69.0,27,25,46,24,Rural,15,24,27,35542,14.3,79.5,0.9,1.3,3.9
Trinity,55.0,6,33,35,26,Rural,22,19,11,9956,4.7,87.0,3.0,1.2,4.2
Tulare,58.0,130,35,38,20,Exurb,16,27,67,186404,48.7,43.6,1.8,3.4,2.5
Tuolumne,60.0,30,29,41,24,Rural,24,30,13,34644,8.7,84.8,1.9,1.0,3.6
Ventura,44.0,410,39,31,25,Suburb,34,50,45,415940,29.0,59.3,2.2,6.5,3.0
Yolo,31.0,105,47,21,26,Suburb,42,41,33,109485,22.5,58.7,3.3,10.9,4.6
Yuba,60.0,30,31,40,22,Exurb,17,30,32,41303,19.0,65.2,4.4,6.0,5.4
